,Post Message,Type,Posted,Lifetime Post organic reach,Lifetime Post Organic Impressions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Engaged Users,Lifetime People who have liked your Page and engaged with your post,Lifetime Talking About This (Post) by action type - like,Post Mesage,Day posted,Date,Time
99,"73% of companies fail in their digital transformation process and lack to get business value from it, according to an Everest Group study. 

How do you ensure as a business leader that your business is among the 27% of successful transformers?

Get a copy of our free e-book ‘7 Steps to Total Digital Transformation’ to favor the odds of your digital transformation success https://bit.ly/3tnVG18",Video,2022-03-01 11:51:09,259.0,276.0,267.0,251.0,0.0,0.0,0.0,"73% of companies fail in their digital transformation process and lack to get business value from it, according to an Everest Group study. 

How do you ensure as a business leader that your business is among the 27% of successful transformers?

Get a copy of our free e-book ‘7 Steps to Total Digital Transformation’ to favor the odds of your digital transformation success https://bit.ly/3tnVG18",Tuesday,2022-03-01,2022-03-29 18:51:09+03:00
100,"We learn from the past  and look forward to the future. However, the present is the perfect time to work towards achieving your objectives.

 Have a productive and fulfilling day!  https://bit.ly/3BOESo2",Photo,2022-02-25 11:32:19,884.0,916.0,898.0,863.0,5.0,4.0,2.0,"We learn from the past  and look forward to the future. However, the present is the perfect time to work towards achieving your objectives.

 Have a productive and fulfilling day!  https://bit.ly/3BOESo2",Friday,2022-02-25,2022-03-29 18:32:19+03:00
101,"Digital transformation is more than just a buzzword, it is a business imperative. Here’s how you can build a winning digital transformation strategy in 7 practical steps: https://bit.ly/3p9mocB",Video,2022-02-23 04:29:50,361.0,381.0,369.0,353.0,4.0,3.0,1.0,"Digital transformation is more than just a buzzword, it is a business imperative. Here’s how you can build a winning digital transformation strategy in 7 practical steps: https://bit.ly/3p9mocB",Wednesday,2022-02-23,2022-03-29 11:29:50+03:00
102,"Digital adoption has taken a quantum leap and there is no going back! As a business leader, your concern is how to thrive now and beyond. 🚀 Learn how to adapt and scale in a post-pandemic digital world with your free copy of 7 Strategic Steps to Total Digital Transformation https://bit.ly/3p9mocB",Video,2022-02-22 12:07:12,489.0,505.0,495.0,479.0,3.0,2.0,1.0,"Digital adoption has taken a quantum leap and there is no going back! As a business leader, your concern is how to thrive now and beyond. 🚀 Learn how to adapt and scale in a post-pandemic digital world with your free copy of 7 Strategic Steps to Total Digital Transformation https://bit.ly/3p9mocB",Tuesday,2022-02-22,2022-03-29 19:07:12+03:00
103,"The difference between ordinary and extraordinary is that little extra. Work with a little extra passion this week to meet your goals. 

Happy Presidents' Day!",Photo,2022-02-21 10:53:01,699.0,701.0,691.0,692.0,2.0,1.0,2.0,"The difference between ordinary and extraordinary is that little extra. Work with a little extra passion this week to meet your goals. 

Happy Presidents' Day!",Monday,2022-02-21,2022-03-29 17:53:01+03:00
104,"Listen to Marketing O’clock with Reactionpower for an insightful deepdive into how Web3 and NFTs could be part of your next successful marketing strategy. 

Get access to the full episode on Spotify here:
 https://spoti.fi/3v08DB0",Video,2022-02-18 13:29:18,340.0,366.0,273.0,258.0,5.0,1.0,3.0,"Listen to Marketing O’clock with Reactionpower for an insightful deepdive into how Web3 and NFTs could be part of your next successful marketing strategy. 

Get access to the full episode on Spotify here:
 https://spoti.fi/3v08DB0",Friday,2022-02-18,2022-03-29 20:29:18+03:00
105,"38% of executives plan to invest more in technology to make it their competitive advantage, according to Deloitte. Act now! Don't let your potential and opportunity fizzle out in the wake of competition. Here are 7 strategic steps to total digital transformation https://bit.ly/3gVNlw0",Video,2022-02-17 23:55:36,500.0,521.0,513.0,495.0,5.0,4.0,1.0,"38% of executives plan to invest more in technology to make it their competitive advantage, according to Deloitte. Act now! Don't let your potential and opportunity fizzle out in the wake of competition. Here are 7 strategic steps to total digital transformation https://bit.ly/3gVNlw0",Thursday,2022-02-17,2022-03-30 06:55:36+03:00
106,"Time is one of the greatest assets in life and in business. A great indicator of time well spent is growth through learning from experiences as well as resources. 

Take a few minutes to explore a few tips to boost your company’s customer experience: https://bit.ly/3aprAS1",Photo,2022-02-15 12:15:08,713.0,727.0,719.0,707.0,2.0,2.0,0.0,"Time is one of the greatest assets in life and in business. A great indicator of time well spent is growth through learning from experiences as well as resources. 

Take a few minutes to explore a few tips to boost your company’s customer experience: https://bit.ly/3aprAS1",Tuesday,2022-02-15,2022-03-29 19:15:08+03:00
107,"Fueled by digital evolution, the rate of change in the marketing world has been amazing! However, the more it evolves the more we realize that core marketing tactics never change. 
Take a look at these 10 timeless marketing tips to fuel your marketing strategies. https://bit.ly/34viiob",Photo,2022-02-09 11:55:03,744.0,758.0,750.0,737.0,1.0,1.0,0.0,"Fueled by digital evolution, the rate of change in the marketing world has been amazing! However, the more it evolves the more we realize that core marketing tactics never change. 
Take a look at these 10 timeless marketing tips to fuel your marketing strategies. https://bit.ly/34viiob",Wednesday,2022-02-09,2022-03-29 18:55:03+03:00
108,"Your brand voice is your personality. The big question is, how is your brand expressing itself? Take a look at these useful strategies to effectively build your brand voice: https://bit.ly/3onGgIu",Video,2022-02-07 16:46:31,308.0,318.0,312.0,303.0,2.0,2.0,1.0,"Your brand voice is your personality. The big question is, how is your brand expressing itself? Take a look at these useful strategies to effectively build your brand voice: https://bit.ly/3onGgIu",Monday,2022-02-07,2022-03-29 23:46:31+03:00
109,"The year of the Tiger brings exciting opportunities. It's a great time to take bold risks and gain the courage to venture deeper into the digital jungle. 

Let's become fearless and discover new ways of achieving our goals. https://bit.ly/3AX8cYX

#HappyLunarNewYear #YearOfTheTiger",Video,2022-02-01 11:49:22,247.0,260.0,249.0,237.0,3.0,3.0,0.0,"The year of the Tiger brings exciting opportunities. It's a great time to take bold risks and gain the courage to venture deeper into the digital jungle. 

Let's become fearless and discover new ways of achieving our goals. https://bit.ly/3AX8cYX

#HappyLunarNewYear #YearOfTheTiger",Tuesday,2022-02-01,2022-03-29 18:49:22+03:00
110,"Trends have proven to be a mainstay when it comes to boosting brand personality, creativity, and top of mind awareness.

Get access to these vital elements that will help keep your brand visible and exciting: https://bit.ly/3o2EY5B

#contentmarketing #advertising #marketingstrategy
#digitalmarketingagency #reactionpower",Video,2022-01-28 15:51:31,535.0,550.0,472.0,466.0,7.0,2.0,6.0,"Trends have proven to be a mainstay when it comes to boosting brand personality, creativity, and top of mind awareness.

Get access to these vital elements that will help keep your brand visible and exciting: https://bit.ly/3o2EY5B

#contentmarketing #advertising #marketingstrategy
#digitalmarketingagency #reactionpower",Friday,2022-01-28,2022-03-29 22:51:31+03:00
111,"In recent times, customer experience has overtaken the price and quality of products to become the leading brand differentiator. 

Take a look at these essential tips to improve your customer experience and set your brand apart: https://bit.ly/3G0bVWD

#digitaltransformation #technology #innovation #digitalmarketing #business #successtips #reactionpower",Video,2022-01-25 10:59:23,361.0,381.0,369.0,353.0,5.0,5.0,2.0,"In recent times, customer experience has overtaken the price and quality of products to become the leading brand differentiator. 

Take a look at these essential tips to improve your customer experience and set your brand apart: https://bit.ly/3G0bVWD

#digitaltransformation #technology #innovation #digitalmarketing #business #successtips #reactionpower",Tuesday,2022-01-25,2022-03-29 17:59:23+03:00
112,"Marketing data is key when it comes to reaching your audience. However, the quality of your data can make a world of difference when connecting with your audience and meeting their needs. 

Check out these tips on how to measure your data quality: https://bit.ly/3AjCG78

#digitaltransformation #technology #innovation #digitalmarketing #business #successtips #reactionpower",Video,2022-01-21 16:11:22,337.0,355.0,346.0,329.0,3.0,3.0,1.0,"Marketing data is key when it comes to reaching your audience. However, the quality of your data can make a world of difference when connecting with your audience and meeting their needs. 

Check out these tips on how to measure your data quality: https://bit.ly/3AjCG78

#digitaltransformation #technology #innovation #digitalmarketing #business #successtips #reactionpower",Friday,2022-01-21,2022-03-29 23:11:22+03:00
113,"As we remember Dr. Martin Luther King Jr., we think of his unwavering determination to spread a message of freedom, justice, and love. His legacy inspires us all to stand up for what we believe in. Happy Martin Luther King Day!

#MLKDay2022 

#ihaveadream #Peace #martinlutherking #blacklivesmatter #MLKDay #martinlutherkingjr  #blackhistory",Video,2022-01-17 12:10:14,338.0,373.0,354.0,322.0,6.0,3.0,5.0,"As we remember Dr. Martin Luther King Jr., we think of his unwavering determination to spread a message of freedom, justice, and love. His legacy inspires us all to stand up for what we believe in. Happy Martin Luther King Day!

#MLKDay2022 

#ihaveadream #Peace #martinlutherking #blacklivesmatter #MLKDay #martinlutherkingjr  #blackhistory",Monday,2022-01-17,2022-03-29 19:10:14+03:00
114,"Marketing is no longer about the stuff that you make, but about the stories, you tell. – Seth Godin https://bit.ly/3A0V3hd",Video,2022-01-14 15:45:25,426.0,451.0,433.0,413.0,6.0,5.0,3.0,"Marketing is no longer about the stuff that you make, but about the stories, you tell. – Seth Godin https://bit.ly/3A0V3hd",Friday,2022-01-14,2022-03-29 22:45:25+03:00
115,"Do you have big ideas for this year?  Keep in mind that careful planning and determined execution breathe life into your ideas!  

#digitaltransformation #technology #innovation #digitalmarketing #reactionpower",Photo,2022-01-12 13:52:01,547.0,565.0,555.0,540.0,1.0,1.0,1.0,"Do you have big ideas for this year?  Keep in mind that careful planning and determined execution breathe life into your ideas!  

#digitaltransformation #technology #innovation #digitalmarketing #reactionpower",Wednesday,2022-01-12,2022-03-29 20:52:01+03:00
116,"The metaverse is an immersive online social experience that lets people connect and interact even when not physically together. This connectivity presents an exciting opportunity for advertising, commerce, currency exchange and much more. 

Discover why the future of business could be in the metaverse: https://bit.ly/3EYSHjG",Video,2022-01-07 15:45:20,527.0,557.0,540.0,518.0,9.0,7.0,3.0,"The metaverse is an immersive online social experience that lets people connect and interact even when not physically together. This connectivity presents an exciting opportunity for advertising, commerce, currency exchange and much more. 

Discover why the future of business could be in the metaverse: https://bit.ly/3EYSHjG",Friday,2022-01-07,2022-03-29 22:45:20+03:00
117,"As another extraordinary year ends, we are grateful for taking the 365 days journey with us on this corner of the internet. Thanks and greetings for a new beginning! Happy New Year.",Video,2021-12-31 11:11:51,393.0,434.0,413.0,379.0,4.0,3.0,0.0,"As another extraordinary year ends, we are grateful for taking the 365 days journey with us on this corner of the internet. Thanks and greetings for a new beginning! Happy New Year.",Friday,2021-12-31,2022-03-29 18:11:51+03:00
